GR2567,Hotel Ismaros 4*,Thrace,individual,29.04.2019-15.10.2019,cel mai mic tarif pe noapte dupa sync
GR2605,Roxani Country House,Thrace,individual,01.05.2019-30.09.2019,cel mai mic tarif pe noapte dupa sync
GR2548,Thassos Grand Resort 5*,Thassos,individual,30.04.2019-07.05.2019,cel mai mic tarif pe noapte dupa sync
GR1969,Natassa Hotel 3*,Thassos,individual,30.04.2019-07.05.2019,cel mai mic tarif pe noapte dupa sync
GR0348,Portes Beach Hotel 4*,Halkidiki,individual,30.04.2019-07.05.2019,cel mai mic tarif pe noapte dupa sync
TR0929,Hanioti Grand Hotel 3*,Halkidiki,individual,30.04.2019-07.05.2019,cel mai mic tarif pe noapte dupa sync
TR0278,Club Falcon,Antalya,individual,01.04-30.10.2019,cel mai mic
TR1931,Kleopatra Remi (Ex. Remi Hotel),Antalya,individual,13.04-31.10.2019,cel mai mic
TR1475,Eftalia Marin Resort,Antalya,individual,12.04-15.11.2019,cel mai mic
TR0012,Aydinbey Gold Dreams,Antalya,individual,25.04-31.10.2019,cel mai mic
TR0004,Akka Alinda,Antalya,individual,01.04-30.10.2019,cel mai mic
TR0246,Avantgarde Luxury Resort,Antalya,individual,01.04-30.10.2019,cel mai mic
TR0272,Venezia Palace De Luxe Resort,Antalya,individual,01.04-30.10.2019,cel mai mic
TR0223,Belconti Resort Hotel,Antalya,individual,01.04-30.10.2019,cel mai mic
TR1711,Adalya Elite Lara (Deschis 2016),Antalya,individual,12.04-31.10.2019,cel mai mic
TR0012,Aydinbey Gold Dreams,Antalya,individual,25.04-31.10.2019,cel mai mic
